Name of the article,Source,Publication date,S1,S2,S3,S4,S5,S6,S7,S8,S9,"sentences with the keyword ""mask""?J?","sentences with the keyword ""mask""?K?",?1,?2,?3,?4,?5
Italy Learns a Hard Lesson on Face Masks,Bloomberg News,5/14/2020,"The problem with fixing a very low price on face masks is that it will cause shortages, unless you boost supply.",It takes economics students a couple of classes to understand why price caps are generally a bad idea. The Italian government has nonetheless chosen to set one for face masks — and it’s learning the lesson the hard way.,"That is what’s happening in Italy after the government said surgical masks should cost 50 euro cents (54 cents), excluding VAT.","Domestically, a number of Italian businesses that had reconverted their production lines to make masks now say the price is just too low to meet their costs. The government says it will compensate those pharmacists who’ve paid more for their masks than the sale price, but that won’t solve the scarcity problem.","Scientists believe that face masks can help contain the spread of Covid-19, especially in places where social distancing is hard, such as on public transport. ","Letting citizens purchase face masks at a reasonable price isn’t just about being fair to the poorest citizens; it will also make the mask policy more effective, since it will boost compliance and help reduce the risk of contagion. ","The government can then purchase these goods at their market value, and distribute them at whatever price it wishes. If it has to pay more than the price at which the masks are sold to the public, then so be it. ",Italy isn’t the only country to fix the price for face masks. South Korea and Taiwan have done it too.,,,,,,,,
Why America Can Make Semiconductors But Not Swabs,Bloomberg News,5/8/2020,"Faced with an unprecedented emergency, U.S. factories have struggled to make even relatively simple products such as swabs, masks and protective gear.",Manufacturers such as BYD Co.(an automaker) and Foxconn (an electronics assembler) have helped to quadruple China’s mask production since the beginning of the pandemic. ,"Taiwanese companies, which make machine tools and can draw on deep pools of manufacturing expertise, were reportedly able to increase mask production tenfold.",,,,,,,,,,,,,
America’s Coronavirus Report Card: Grim But Incomplete,Bloomberg News,5/7/2020,Another big project would be to equip every American with a quality mask and promote mask-wearing as “the new normal.” ,"Early advice from public-health authorities was that mask-wearing was not worthwhile, though this turned out to be incorrect. Meanwhile federal restrictions made it difficult to import masks, even though the country’s mask stockpile had been greatly depleted in 2009 and not replenished. ", It is still the case that many front-line workers and even medical professionals do not have access to top-quality masks.,"There does seem to be a recent improvement in mask-wearing among the general public, at least where I live in northern Virginia.",,,,,,,,,,,,
Why Coronavirus Is Punishing the Economy More than Spanish Flu,Bloomberg News,5/6/2020,"These included closing schools and churches, banning mass gatherings, mandated mask-wearing and other restrictions.
The combination of fear of the virus and government interventions deeply hurt retail and other business that depended on foot traffic, much as today.",,,,,,,,,,,,,,,
The U.S. Is Short on Workers Who Can Sew,Bloomberg News,4/3/2020,The coronavirus pandemic has led domestic apparel makers to shift to surgical mask and gown production. ,"Venerable apparel retailer Brooks Brothers says it is in the process of converting its New York, North Carolina and Massachusetts factories from manufacturing ties, shirts and suits to now making masks and gowns.","Michigan-based workwear maker Carhartt is shifting over to mask and gown production, too. In Houston, Gourmet Table Skirts & Linens, which normally sells to hotels and cruise ships, has gone all-in on surgical masks.","To be sure, most of the protective respirators and the surgical masks in use today are not the product of traditional textile manufacturing or cut-and-sew production.",,,,,,,,,,,,
Straight Talk About Masks and Coronavirus Prevention,Bloomberg News,3/25/2020,A procedural mask loosely covers the mouth and nose of the wearer and has straps that go over the ears.,"The surgical mask is meant for operating rooms and other sterile environments, procedural masks for areas that need to be clean but not necessarily sterile. "," so please let me know if I got anything wrong, or if you can explain to me how melt-blowing works) because health officials in Western countries have been giving some pretty confounding advice about the use of masks in fighting the coronavirus pandemic.For example:
Seriously people- STOP BUYING MASKS! 
","having tried wearing N95 masks during past visits to polluted Chinese cities and having found the experience so unpleasant that I decided to suck in deadly particulates instead, I am dubious that many people not in situations of intense peril would really wear the things consistently enough to protect themselves."," If Western countries want to restart their economies safely if and when the stay-at-home orders succeed in halting the spread of the virus, the wearing of such masks should probably be strongly encouraged.","The concern that panic buying of surgical masks will keep them out of the hands of those who need them most is, on the other hand, not nonsense. ","Instead of telling people not to wear masks, though, Singaporean authorities announced at the end of January that they would be giving four procedural masks to each of the nation","The head of the Centre for Infection at the University of Hong Kong suggested last week, for example, that non-mask-wearers be banned from public transit there for the time being. In Japan, where mask-wearing has long been common",,,,,,,,
New York Can't Wait Until June for Ventilators,Bloomberg News,3/24/2020,"He did invoke it on Tuesday with regard to production of testing kits and masks, but that fails to address a crucial shortage in ventilators. ",,,,,,,,,,,,,,,
U.S. Factories Helped Win World War II. They Can Do It Again,Bloomberg News,3/16/2020,"In the national time of need, any American factory that can be repurposed for masks, ventilators or disinfectant should be. ","The number of face masks in that strategic reserve was depleted in the swine-flu outbreak of 2009 and as of early March it held only about 12 million N95 respirators and 30 million surgical masks, significantly fewer than the 3.5 billion masks experts estimate the U.S. would need in a severe pandemic, according to the Washington Post.","Companies such as 3M Co. and Honeywell International Inc. already make masks and personal-protective gear, but they will need help to meet the huge demand.",,,,,,,,,,,,,
Sold-Out Coronavirus N95 Face Masks Offer a Lesson in Price Gouging,Bloomberg News,1/31/2020,"Now that the government has confirmed the first human-to-human transmission of the new coronavirus in the U.S., a lot of people will be rushing out to purchase masks. That would be, specifically, the N95 air filtration mask, the one recommended by the U.S. Centers for Disease Control and Prevention for blocking most airborne viruses.","And no matter how many experts query whether the N95 mask would even stop transmission of the virus, supply still can’t keep up with demand.",Let’s begin with a thought experiment: Suppose that an entrepreneur — we’ll call him Carter — turns out to have stockpiled several thousand N95 masks a few years ago.,"He even sets up a website where people can bid. Every ten minutes, until the supply is gone, the highest bidder wins 20 masks. ","Carter caves. Humiliated, and worried about his business prospects, he donates his entire store of N95 masks to public health authorities, who in turn will give them out if deemed necessary (that is, if deemed necessary in their view) according to some rationing formula that will be shared with the public only if what the authorities deem to be an emergency should arise. (In China, masks are already being rationed by the government.)","Here’s the simplest reason: Smarter, who happens to possess an even bigger cache of N95 masks than Carter did, will observe how he was treated and decide to keep hers under lock and key. ","As a result of the insistence that Carter not sell his property at the price the market is willing to pay, the supply of N95 masks to the public is smaller than if nobody had intervened.",,,,,,,,,
U.S. Holds Off Urging Face-Mask Use But Virus Fears Fan Sellout,Bloomberg News,2/28/2020,"U.S. health authorities may not be calling for the use of face masks to halt the spread of the novel coronavirus just yet, but shortages appear to be emerging across the U.S. anyway.","Social media users across the country posted photos of empty store shelves, attributing the rush for face masks and hand sanitizers to heightened fears of the respiratory disease. ",The Centers for Disease Control and Prevention said on Thursday afternoon that it doesn’t currently recommend the use of face masks to prevent the spread of the disease. ,"Some users on Twitter, meanwhile, reported that it wasn’t just face masks that were hard to come by, saying items such as bottle water, bleach and paper towels were also sold out.",,,,,,,,,,,,
Restaurant Workers Got Masks. They'd Also Like a Permanent Raise,Bloomberg News,4/7/2020,Some of America’s fast-food workers are finally getting face masks and emergency sick days to help get them through the coronavirus outbreak. ,"In response to recent employee pleas, McDonald’s Corp. said last week that it will shift its policy to allow employees to wear masks and is working to supply them. ",The company did not respond to a request for information about its mask policy or paid sick days.,Chipotle Mexican Grill Inc. said that it has also changed its policy to allow employees to wear masks and is looking to purchase them.,"Domino’s Pizza Inc. is making franchisees purchase non-medical grade masks and gloves for restaurant staff. The protective gear will begin arriving in restaurants this week, and thermometers also are being sent to all stores.","These safety steps followed ones taken by some groceries, which have installed plexiglass shields to protect cashiers, and big-box stores, which have provided masks and added wage increases.","Before McDonald’s changed its policy, some of the chain’s workers said they weren’t allowed to wear masks or gloves on the job. ",,,,,,,,,
Steady U.S. GDP Could Mask Weakening Consumption,Bloomberg News,1/29/2020,"On the surface, U.S. economic growth last quarter is projected to look decent and little changed from the prior period. But the main figure could mask a misfire in the economy’s chief engine: the consumer",,,,,,,,,,,,,,,
